# URL: https://www.iana.org/domains/idn-tables/tables/google_latn_1.0.txt
# Policy: https://www.registry.google/about/policies/domainabuse/
U+002D                         # HYPHEN-MINUS
U+0030                         # DIGIT ZERO
U+0031                         # DIGIT ONE
U+0032                         # DIGIT TWO
U+0033                         # DIGIT THREE
U+0034                         # DIGIT FOUR
U+0035                         # DIGIT FIVE
U+0036                         # DIGIT SIX
U+0037                         # DIGIT SEVEN
U+0038                         # DIGIT EIGHT
U+0039                         # DIGIT NINE
U+0061                         # LATIN SMALL LETTER A
U+0062                         # LATIN SMALL LETTER B
U+0063                         # LATIN SMALL LETTER C
U+0064                         # LATIN SMALL LETTER D
U+0065                         # LATIN SMALL LETTER E
U+0066                         # LATIN SMALL LETTER F
U+0067                         # LATIN SMALL LETTER G
U+0068                         # LATIN SMALL LETTER H
U+0069                         # LATIN SMALL LETTER I
U+006A                         # LATIN SMALL LETTER J
U+006B                         # LATIN SMALL LETTER K
U+006C                         # LATIN SMALL LETTER L
U+006D                         # LATIN SMALL LETTER M
U+006E                         # LATIN SMALL LETTER N
U+006F                         # LATIN SMALL LETTER O
U+0070                         # LATIN SMALL LETTER P
U+0071                         # LATIN SMALL LETTER Q
U+0072                         # LATIN SMALL LETTER R
U+0073                         # LATIN SMALL LETTER S
U+0074                         # LATIN SMALL LETTER T
U+0075                         # LATIN SMALL LETTER U
U+0076                         # LATIN SMALL LETTER V
U+0077                         # LATIN SMALL LETTER W
U+0078                         # LATIN SMALL LETTER X
U+0079                         # LATIN SMALL LETTER Y
U+007A                         # LATIN SMALL LETTER Z
U+00E0                         # LATIN SMALL LETTER A WITH GRAVE
U+00E2                         # LATIN SMALL LETTER A WITH CIRCUMFLEX
U+00E3                         # LATIN SMALL LETTER A WITH TILDE
U+00E4                         # LATIN SMALL LETTER A WITH DIAERESIS
U+00E5                         # LATIN SMALL LETTER A WITH RING ABOVE
U+00E6                         # LATIN SMALL LETTER AE
U+00E7                         # LATIN SMALL LETTER C WITH CEDILLA
U+00E8                         # LATIN SMALL LETTER E WITH GRAVE
U+00E9                         # LATIN SMALL LETTER E WITH ACUTE
U+00EA                         # LATIN SMALL LETTER E WITH CIRCUMFLEX
U+00EB                         # LATIN SMALL LETTER E WITH DIAERESIS
U+00EC                         # LATIN SMALL LETTER I WITH GRAVE
U+00EE                         # LATIN SMALL LETTER I WITH CIRCUMFLEX
U+00F0                         # LATIN SMALL LETTER ETH
U+00F2                         # LATIN SMALL LETTER O WITH GRAVE
U+00F4                         # LATIN SMALL LETTER O WITH CIRCUMFLEX
U+00F5                         # LATIN SMALL LETTER O WITH TILDE
U+00F6                         # LATIN SMALL LETTER O WITH DIAERESIS
U+00F8                         # LATIN SMALL LETTER O WITH STROKE
U+00F9                         # LATIN SMALL LETTER U WITH GRAVE
U+00FB                         # LATIN SMALL LETTER U WITH CIRCUMFLEX
U+00FD                         # LATIN SMALL LETTER Y WITH ACUTE
U+00FE                         # LATIN SMALL LETTER THORN
U+00FF                         # LATIN SMALL LETTER Y WITH DIAERESIS
U+0103                         # LATIN SMALL LETTER A WITH BREVE
U+0105                         # LATIN SMALL LETTER A WITH OGONEK
U+0107                         # LATIN SMALL LETTER C WITH ACUTE
U+0109                         # LATIN SMALL LETTER C WITH CIRCUMFLEX
U+010D                         # LATIN SMALL LETTER C WITH CARON
U+010F                         # LATIN SMALL LETTER D WITH CARON
U+0111                         # LATIN SMALL LETTER D WITH STROKE
U+0113                         # LATIN SMALL LETTER E WITH MACRON
U+0117                         # LATIN SMALL LETTER E WITH DOT ABOVE
U+0119                         # LATIN SMALL LETTER E WITH OGONEK
U+011B                         # LATIN SMALL LETTER E WITH CARON
U+011D                         # LATIN SMALL LETTER G WITH CIRCUMFLEX
U+011F                         # LATIN SMALL LETTER G WITH BREVE
U+0123                         # LATIN SMALL LETTER G WITH CEDILLA
U+0125                         # LATIN SMALL LETTER H WITH CIRCUMFLEX
U+0127                         # LATIN SMALL LETTER H WITH STROKE
U+012B                         # LATIN SMALL LETTER I WITH MACRON
U+012F                         # LATIN SMALL LETTER I WITH OGONEK
U+0135                         # LATIN SMALL LETTER J WITH CIRCUMFLEX
U+0137                         # LATIN SMALL LETTER K WITH CEDILLA
U+013A                         # LATIN SMALL LETTER L WITH ACUTE
U+013C                         # LATIN SMALL LETTER L WITH CEDILLA
